Well,Omit,sample_id_old,Target,Dye,Task,Cq,Quantity,plate_id,study,template_vol,elution_vol,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
H10,FALSE,bf_filter_control_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
H11,FALSE,bf_filter_control_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
H12,FALSE,bf_filter_control_41,MAC,SYBR,Unknown,Undetermined,,MAC_samples_1,AR,1,100,,,,,,,,,,,
A1,FALSE,NTC,Ps,FAM,Negative Control,Undetermined,,Ps_samples_2,,1,100,,,,,,,,,,,
A2,FALSE,NTC,Ps,FAM,Negative Control,Undetermined,,Ps_samples_2,,1,100,,,,,,,,,,,
A3,FALSE,NTC,Ps,FAM,Negative Control,Undetermined,,Ps_samples_2,,1,100,,,,,,,,,,,
A4,FALSE,AR_1_23,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
A5,FALSE,AR_1_23,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
A6,FALSE,AR_1_23,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
A7,FALSE,AR_1_27,Ps,FAM,Unknown,38,0.803170396,Ps_samples_2,AR,1,100,,,,,,,,,,,
A8,FALSE,AR_1_27,Ps,FAM,Unknown,37.05201079,1.65625698,Ps_samples_2,AR,1,100,,,,,,,,,,,
A9,FALSE,AR_1_27,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
A10,FALSE,AR_1_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
A11,FALSE,AR_1_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
A12,FALSE,AR_1_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
B1,FALSE,5,Ps,FAM,Standard,Undetermined,5,Ps_samples_2,,1,100,,,,,,,,,,,
B2,FALSE,5,Ps,FAM,Standard,34.57797112,5,Ps_samples_2,,1,100,,,,,,,,,,,
B3,FALSE,5,Ps,FAM,Standard,34.98448774,5,Ps_samples_2,,1,100,,,,,,,,,,,
B4,FALSE,AR_2_23,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
B5,FALSE,AR_2_23,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
B6,FALSE,AR_2_23,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
B7,FALSE,AR_2_27,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
B8,FALSE,AR_2_27,Ps,FAM,Unknown,Undetermined,,Ps_samples_2,AR,1,100,,,,,,,,,,,
